action_swap_path,label_A,label_B,choice_1,choice_2,choice_3,choice_4,choice_5,human_choice,background_choice,choice,choice_is_human,choice_is_bg
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000083_bowling_to_sword fighting_V7vo_5tif-g_000092_000102_bg_7G7e9f0E-Xk_000042_000052,bowling,sword fighting,reading newspaper,bowling,skiing slalom,playing accordion,sword fighting,2,5,C,False,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000084_punching person (boxing)_to_drinking_JosqyNGpXfs_000208_000218_bg_gaj407eSdSs_000000_000010,punching person (boxing),drinking,punching person (boxing),golf driving,drinking,playing basketball,flying kite,1,3,A,True,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000085_playing volleyball_to_clean and jerk_AAB667vHVnc_000005_000015_bg_cS3_7_XY4RU_000005_000015,playing volleyball,clean and jerk,clean and jerk,playing volleyball,shooting basketball,reading book,brushing teeth,2,1,A,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000086_dribbling basketball_to_playing accordion_6cwDzCzQLCg_000134_000144_bg_xNz65ouVPGo_000076_000086,dribbling basketball,playing accordion,opening bottle,driving car,playing accordion,playing trumpet,dribbling basketball,5,3,C,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000087_opening bottle_to_playing guitar_Kjv1tEZy6U4_000006_000016_bg_H9XWa152whU_000333_000343,opening bottle,playing guitar,shooting basketball,opening bottle,playing violin,playing guitar,dunking basketball,2,4,D,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000088_catching or throwing baseball_to_juggling soccer ball_-LZ6lnyP0BQ_000102_000112_bg_yTs5t9Jas6E_000045_000055,catching or throwing baseball,juggling soccer ball,writing,walking the dog,juggling soccer ball,surfing water,catching or throwing baseball,5,3,C,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000089_sword fighting_to_brushing hair_7G7e9f0E-Xk_000042_000052_bg_-ayhkSjMkms_000022_000032,sword fighting,brushing hair,hurdling,catching or throwing frisbee,playing volleyball,sword fighting,brushing hair,4,5,B,False,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000090_skiing slalom_to_skiing (not slalom or crosscountry)_a4AL9zDGYN4_000015_000025_bg__3l3WdE36TI_000139_000149,skiing slalom,skiing (not slalom or crosscountry),surfing water,tying tie,skiing slalom,climbing ladder,skiing (not slalom or crosscountry),3,5,E,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000091_sweeping floor_to_hurdling_YUCMbO4NGkA_000020_000030_bg_1ZP9LHPTwwg_000012_000022,sweeping floor,hurdling,sweeping floor,walking the dog,catching or throwing baseball,driving car,hurdling,1,5,E,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000092_dunking basketball_to_playing accordion_Bl28qY8T6NA_000045_000055_bg_2GhcqTJoEaI_000017_000027,dunking basketball,playing accordion,shooting basketball,skipping rope,playing accordion,dunking basketball,driving car,4,3,D,True,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000093_juggling balls_to_sweeping floor_ESTDL77ahM8_000004_000014_bg_351SpPbC1Rs_000001_000011,juggling balls,sweeping floor,reading newspaper,juggling balls,brushing teeth,sweeping floor,dunking basketball,2,4,B,True,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000094_eating ice cream_to_hurdling_59mJuk8YWZA_000000_000010_bg_UytdOEGAZbs_000014_000024,eating ice cream,hurdling,playing saxophone,sword fighting,eating ice cream,bowling,hurdling,3,5,C,True,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000095_sweeping floor_to_playing basketball_L3LgxlLLXVc_000001_000011_bg_zG65IAmnSnc_000096_000106,sweeping floor,playing basketball,playing piano,walking the dog,playing accordion,playing basketball,sweeping floor,5,4,D,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000096_brushing hair_to_sweeping floor_aXPsBVPYG_I_000029_000039_bg_6s3LjZShb00_000003_000013,brushing hair,sweeping floor,driving car,sweeping floor,catching or throwing frisbee,brushing hair,shooting goal (soccer),4,2,C,False,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000097_climbing a rope_to_cleaning windows_mBKGm6cVD0o_000002_000012_bg_a3gUVG1b0R0_000095_000105,climbing a rope,cleaning windows,bowling,climbing a rope,cleaning windows,playing trumpet,skiing slalom,2,3,B,True,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000098_dunking basketball_to_deadlifting_A2I07wKnRA0_000011_000021_bg_9vSb28P8u98_000150_000160,dunking basketball,deadlifting,playing trumpet,playing tennis,playing basketball,dunking basketball,deadlifting,4,5,D,True,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000099_dribbling basketball_to_playing trumpet_UthqVZFc6Zk_000145_000155_bg_j1nlOIFx0pQ_000012_000022,dribbling basketball,playing trumpet,shooting goal (soccer),playing tennis,playing trumpet,dribbling basketball,brushing hair,4,3,D,True,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000100_playing basketball_to_playing trumpet_swuIzEjpmak_000340_000350_bg_7mpX78LIkVM_000045_000055,playing basketball,playing trumpet,deadlifting,playing trumpet,playing basketball,playing bass guitar,tying tie,3,2,C,True,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000101_bowling_to_playing accordion_lbS09aO_WQQ_000023_000033_bg_jEeV0LPXPxI_000015_000025,bowling,playing accordion,playing accordion,bowling,surfing water,brushing hair,writing,2,1,A,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000102_writing_to_walking the dog_upsu2XoqoFM_000053_000063_bg_9dnXMsrhHC8_000359_000369,writing,walking the dog,writing,walking the dog,catching or throwing frisbee,canoeing or kayaking,hurdling,1,2,C,False,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000103_playing guitar_to_opening bottle_p0pp-37fOdo_000123_000133_bg_IAXAOamk-hE_000026_000036,playing guitar,opening bottle,canoeing or kayaking,playing guitar,opening bottle,playing volleyball,hurdling,2,3,B,True,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000104_playing accordion_to_climbing a rope_UBvJD2xjtvY_000000_000010_bg_M0BedpP3Ya4_000017_000027,playing accordion,climbing a rope,playing accordion,surfing water,tying tie,skipping rope,climbing a rope,1,5,D,False,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000105_canoeing or kayaking_to_playing basketball_YLuft2I6YYc_000092_000102_bg_3mIvIgAlniY_000001_000011,canoeing or kayaking,playing basketball,writing,canoeing or kayaking,bowling,playing basketball,skiing (not slalom or crosscountry),2,4,D,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000106_opening bottle_to_juggling soccer ball_qJ6DOrO8A2U_000000_000010_bg_7rzUq86aMR8_001328_001338,opening bottle,juggling soccer ball,juggling soccer ball,opening bottle,sweeping floor,catching or throwing baseball,skiing (not slalom or crosscountry),2,1,D,False,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000107_sweeping floor_to_flying kite_gTwElXrtxmw_000002_000012_bg_xq31PobJMvM_000102_000112,sweeping floor,flying kite,reading newspaper,sweeping floor,tying tie,drinking,flying kite,2,5,E,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000108_playing accordion_to_sweeping floor_OtUxN7tXEXU_000049_000059_bg_8ddV4PIuIBs_000082_000092,playing accordion,sweeping floor,sweeping floor,climbing a rope,playing accordion,climbing ladder,playing piano,3,1,C,True,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000109_hurdling_to_playing volleyball_WstAIUtk7c8_000003_000013_bg_8W1jn3V3_Vc_000009_000019,hurdling,playing volleyball,hurdling,driving car,eating ice cream,skipping rope,playing volleyball,1,5,E,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000110_playing guitar_to_drinking_mhzWCdClkAI_000142_000152_bg_ahtLVUE4qw8_000018_000028,playing guitar,drinking,playing guitar,drinking,reading newspaper,juggling balls,playing piano,1,2,D,False,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000111_skiing slalom_to_tying tie_snvZDqfJ9Mw_000105_000115_bg_7Mtprt8_bqM_000060_000070,skiing slalom,tying tie,climbing a rope,skiing slalom,tying tie,opening bottle,deadlifting,2,3,B,True,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000112_punching person (boxing)_to_playing trumpet_cuoqBzkii1Q_000094_000104_bg_is8kacH7dUg_000022_000032,punching person (boxing),playing trumpet,playing trumpet,hurdling,reading book,punching person (boxing),brushing hair,4,1,D,True,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000113_sword fighting_to_reading book_bPHsWugu78s_000119_000129_bg_dBm6aq52E-I_000025_000035,sword fighting,reading book,sword fighting,reading book,dunking basketball,drinking,eating ice cream,1,2,A,True,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000114_playing basketball_to_playing accordion_id66m9hwjkM_000044_000054_bg_xNz65ouVPGo_000076_000086,playing basketball,playing accordion,eating ice cream,eating cake,playing basketball,brushing hair,playing accordion,3,5,E,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000115_playing tennis_to_playing piano_KcBFSLIHRzg_000078_000088_bg_9o68AyEWzcM_000081_000091,playing tennis,playing piano,reading newspaper,golf driving,playing tennis,playing guitar,playing piano,3,5,E,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000116_tying tie_to_juggling balls_C15qK3MFWLk_000001_000011_bg_iO6MiUbydaY_000064_000074,tying tie,juggling balls,climbing a rope,playing violin,tying tie,clean and jerk,juggling balls,3,5,C,True,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000117_hitting baseball_to_climbing a rope_wjJDs0qmwqE_000020_000030_bg_O02pJn1BaBk_000006_000016,hitting baseball,climbing a rope,playing violin,hitting baseball,climbing a rope,playing volleyball,skipping rope,2,3,B,True,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000118_deadlifting_to_dunking basketball_KhEsiIGxmMw_000062_000072_bg_ePkJVG2MnBg_000009_000019,deadlifting,dunking basketball,sweeping floor,brushing teeth,dunking basketball,opening bottle,deadlifting,5,3,C,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000119_flying kite_to_skiing slalom_07xOT83TIG4_000040_000050_bg_tZazt1KDJU0_000017_000027,flying kite,skiing slalom,playing basketball,playing trumpet,sword fighting,skiing slalom,flying kite,5,4,D,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000120_surfing water_to_smoking_3tKrqlMI8ZU_000053_000063_bg_SrIotBfD6BY_000001_000011,surfing water,smoking,smoking,surfing water,tying tie,flying kite,brushing hair,2,1,D,False,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000121_cleaning windows_to_playing saxophone_ZqlAPN0DEl4_000024_000034_bg_FQrXAPz-daQ_000120_000130,cleaning windows,playing saxophone,cleaning windows,playing saxophone,playing volleyball,reading newspaper,driving car,1,2,B,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000122_drinking_to_cleaning windows_QrWquDo7TzE_000126_000136_bg_gmRb11vMatc_000045_000055,drinking,cleaning windows,cleaning windows,eating cake,playing trumpet,hitting baseball,drinking,5,1,E,True,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000123_catching or throwing baseball_to_eating cake_CR0PV8jmGqg_000003_000013_bg_7U9X4LXCR60_000001_000011,catching or throwing baseball,eating cake,playing bass guitar,sweeping floor,catching or throwing baseball,tying tie,eating cake,3,5,C,True,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000124_climbing ladder_to_archery_n5Fr76ZUlrM_000004_000014_bg_pWOl7B7jf0U_000000_000010,climbing ladder,archery,catching or throwing frisbee,climbing ladder,archery,shooting basketball,playing guitar,2,3,C,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000125_hitting baseball_to_juggling soccer ball_V_whuvMjg_8_000004_000014_bg_xYnCc5a3nkM_000077_000087,hitting baseball,juggling soccer ball,juggling soccer ball,golf driving,hitting baseball,skipping rope,eating ice cream,3,1,B,False,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000126_sword fighting_to_drinking_d9ELWl9-8NE_000003_000013_bg_6tRQJ5KdSIE_000000_000010,sword fighting,drinking,playing trumpet,walking the dog,sword fighting,hitting baseball,drinking,3,5,C,True,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000127_hurdling_to_flying kite_vNOJj2XzgzA_000015_000025_bg_zIf7WC3ASzc_000694_000704,hurdling,flying kite,skipping rope,sword fighting,playing accordion,hurdling,flying kite,4,5,D,True,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000128_opening bottle_to_juggling soccer ball_GoFJb86v1pg_000000_000010_bg_44oF-GJ3JYQ_000011_000021,opening bottle,juggling soccer ball,shooting goal (soccer),opening bottle,juggling soccer ball,clean and jerk,dunking basketball,2,3,B,True,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000129_skiing slalom_to_playing basketball_r0dVelmP76E_000195_000205_bg_KCSNGD2_WlE_000051_000061,skiing slalom,playing basketball,skiing slalom,playing basketball,catching or throwing baseball,opening bottle,climbing a rope,1,2,B,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000130_playing tennis_to_playing saxophone_b7SLPvwo2mA_000052_000062_bg_7YihjsB2CEk_000000_000010,playing tennis,playing saxophone,smoking,playing saxophone,surfing water,skiing slalom,playing tennis,5,2,C,False,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000131_archery_to_sweeping floor_5rElcI860iU_000075_000085_bg_UvsXe1KKPZ8_000004_000014,archery,sweeping floor,skipping rope,bowling,shooting goal (soccer),sweeping floor,archery,5,4,D,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000132_shooting goal (soccer)_to_opening bottle_JCwEbNqgn2k_000042_000052_bg_b2KnqbubIB8_000055_000065,shooting goal (soccer),opening bottle,juggling balls,playing tennis,walking the dog,opening bottle,shooting goal (soccer),5,4,E,True,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000133_tying tie_to_skiing (not slalom or crosscountry)_-0byZyStAYQ_000054_000064_bg_-P56BlJO-gw_000051_000061,tying tie,skiing (not slalom or crosscountry),skipping rope,skiing (not slalom or crosscountry),tying tie,smoking,drinking,3,2,B,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000134_sweeping floor_to_catching or throwing baseball_351SpPbC1Rs_000001_000011_bg_sjEsaf50Uy4_000008_000018,sweeping floor,catching or throwing baseball,juggling soccer ball,catching or throwing baseball,canoeing or kayaking,sweeping floor,deadlifting,4,2,B,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000135_playing volleyball_to_hitting baseball_6IPue5yWpJo_000159_000169_bg_3R1kvNrGJK0_000011_000021,playing volleyball,hitting baseball,hitting baseball,playing volleyball,playing piano,climbing a rope,cleaning windows,2,1,B,True,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000136_smoking_to_playing guitar_QJrRlSn2rV0_000101_000111_bg_MrSMr3S3lE0_000090_000100,smoking,playing guitar,skiing slalom,playing guitar,smoking,catching or throwing baseball,playing volleyball,3,2,C,True,False
